Type,AISC_Manual_Label,W,A,d,bf,tw,tf,b/t,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J
W,W1100X499,499,63500,1120,404,26.2,45.0,–,38.0,12900,26500,23100,452,499,3870,2460,88.6,–,–,–,31100
W,W1100X433,433,55100,1110,401,22.0,40.1,–,45.0,11200,23100,20300,452,433,3360,2160,88.6,–,–,–,21200
W,W1100X390,390,49800,1100,401,19.9,36.1,–,49.6,10000,20800,18200,450,384,2980,1920,88.1,–,–,–,15500
W,W1100X343,343,43700,1090,401,18.0,31.0,–,54.8,8660,18000,15900,445,331,2570,1660,87.1,–,–,–,10400
W,W1000X976,975,125000,1110,429,50.0,89.9,–,17.3,23500,50500,42500,434,1190,8880,5570,98.0,–,–,–,245000
W,W1000X883,883,112000,1090,424,45.5,82.0,–,19.1,21000,45200,38300,432,1050,7880,4950,96.5,–,–,–,185000
W,W1000X748,748,95500,1070,417,39.1,70.1,–,22.3,17300,38000,32400,427,849,6460,4080,94.5,–,–,–,115000
W,W1000X642,642,81900,1050,411,34.0,59.9,–,25.5,14500,32100,27700,422,703,5370,3410,92.7,–,–,–,73700
W,W1000X591,591,75500,1040,409,31.0,55.9,–,28.0,13300,29500,25600,422,641,4920,3130,92.5,–,–,–,59100
